"fipscounty","AAR_county","AAR_norm","decile","bottom_decile","upper_decile","negative_shock","positive_shock","unaffected","aar_category","quartile","bottom_quartile","upper_quartile"
37099,-0.138131753946838,-0.61225528218748,3,"0","0",0,0,"0","3",1,"1","0"
37101,-0.0783368148939808,-0.112277553054524,5,"0","0",0,0,"1","1",2,"0","0"
37103,-0.129945757916409,-0.543807755175751,3,"0","0",0,0,"0","3",2,"0","0"
37105,-0.166104262787678,-0.84614851244952,2,"0","0",1,0,"0","0",1,"1","0"
37107,-0.0578177964583023,0.0592930247236227,6,"0","0",0,0,"1","1",3,"0","0"
37109,-0.151510205381014,-0.724119728799959,2,"0","0",1,0,"0","0",1,"1","0"
37111,-0.0321714395229524,0.273736044554024,7,"0","0",0,0,"1","1",3,"0","0"
37113,-0.142242625805897,-0.646628498539989,3,"0","0",0,0,"0","3",1,"1","0"
37115,-0.0675769157655741,-0.0223082342938685,6,"0","0",0,0,"1","1",3,"0","0"
37117,0.00548662239977067,0.588615406953367,9,"0","0",0,0,"1","1",4,"0","1"
37119,-0.0368475668875904,0.23463642211204,7,"0","0",0,0,"1","1",3,"0","0"
37121,-0.0767868627157337,-0.0993175670988625,5,"0","0",0,0,"1","1",2,"0","0"
37123,-0.194874019359351,-1.08670796089545,1,"1","0",1,0,"0","0",1,"1","0"
37125,-0.0410183853642164,0.199761959764551,7,"0","0",0,0,"1","1",3,"0","0"
37127,-0.0540099045205827,0.0911328625754815,6,"0","0",0,0,"1","1",3,"0","0"
37129,-0.0838412627287596,-0.158303209609349,5,"0","0",0,0,"1","1",2,"0","0"
37131,-0.0968851798013354,-0.267370434030802,4,"0","0",0,0,"1","1",2,"0","0"
37133,-0.0990272030861748,-0.285281045776006,4,"0","0",0,0,"1","1",2,"0","0"
37135,-0.0472248471588845,0.147866385938385,7,"0","0",0,0,"1","1",3,"0","0"
37137,0.0300788300818808,0.794244116439942,9,"0","0",0,0,"1","1",4,"0","1"
37139,-0.0763334051291649,-0.0955259636959327,5,"0","0",0,0,"1","1",2,"0","0"
